,Data ,sender_known_malicios,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_Count,has_executable_attachment,unscannable_attachment_present,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_Score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_Count,dna_morphing_detected,domain_tech_stack_match_score,is_high_risk_role_targeted,sender_name_similarity_to_vip,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing-keywords_detected,html_text_ratio,image_only_email,spf_result,dkim_result,dmarc_result,reverse_dns_valid,tls_version,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,total_components_detected_malicious
1273,D1274,1,0.0001556793615835,0,0.5347005855433428,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0033241535187929,0,0,2.069549531615817e-08,0,4.484897184000631e-07,0.0274136490891692,0.0405750052715945,0,1,0,1.0,0,5.413550299034738e-07,0.5053866,none,0.0026222045153185,0,0,0,0,0.0,0,pass,none,none,1,TLS 1.2,4,0,0,0,0,0.0147036727622248,self signed,0.090981223564348,1.0942911608557246e-17,0,1,0
1332,D1333,0,0.0001657525515757,0,1.3810422656791868e-10,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.6676688120678499,0,0,3.896768604502583e-08,0,0.0489457802889611,0.314347401774862,0.6288127411422961,0,0,0,1.0,0,0.0017822929295,0.9645694,none,0.8952712709390386,0,0,0,0,0.0,0,pass,pass,none,0,TLS 1.1,1,0,0,0,0,0.0005467195741932,valid,0.0548250019363676,0.2487734745464969,0,1,5
1338,D1339,0,0.0005442990028792,0,0.0001158065863425,1,0,0,4.981298888651378e-07,0,0,0,3,0,0.0001533092805241,0.0036292019179457,0,0,0,0,0.7504696979103156,0,0,4,7.282631684165109e-12,"[""""]",0,0,0.1500061292642302,0,0,8.28961432038901e-08,0,0.9764756136282368,0.146897536673672,0.049271147179621,0,0,0,1.0,0,0.0698303104027634,0.3051597,none,7.105065158635935e-06,0,0,0,0,0.0,0,softfail,none,fail,1,TLS 1.3,0,0,0,0,0,0.005997270253141,self signed,1.3395664985455957e-13,0.0029460883944011,0,0,2
1716,D1717,0,0.0052682981425255,0,0.0019959906654686,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0121889941676892,0,0,2.7635207736935928e-08,0,0.0002011593964224,0.0136984937677524,0.1374389750142028,0,0,0,1.0,0,3.633138718654024e-12,0.3101777,none,0.2342221373583232,0,0,0,0,0.0,0,pass,policy,pass,1,TLS 1.2,2,0,0,0,0,0.000109607562535,expired,1.0230751360096974e-07,0.0646691655401859,0,1,2
1791,D1792,0,3.529682078786265e-05,0,0.0070311900699894,0,0,0,0.0831013690891536,0,0,0,0,0,0.3402806529569602,0.1390809154431769,0,0,0,0,0.0696285928854579,0,1,4,2.2072161937167745e-17,"[""""]",0,0,3.2192316927597423e-08,0,0,1.74592560083571e-14,0,0.0002297271487426,0.0016979753950015,0.0003419296212585,0,0,0,0.5,0,0.0298366607423353,0.3183427,wire_transfer,0.0002945908737371,0,0,0,0,0.0,0,pass,none,fail,1,TLS 1.2,1,0,0,0,0,0.0092720374353305,valid,0.0943018084542812,0.4076493106059435,0,1,0
1905,D1906,0,0.002051732879865,0,6.307185729739801e-06,0,0,0,0.0032135574093674,0,0,0,0,0,0.2185876322011217,0.0288455197433165,0,0,0,0,0.7523621740509044,0,0,5,0.0037990137602446,"[""""]",0,0,0.2654984464644515,0,0,7.7577300615274e-05,0,0.4548925180974161,0.0002476832570255,3.403574154429871e-07,0,0,0,1.0,0,0.0001617990711922,0.599058,wire_transfer,4.549965253489045e-13,0,0,0,0,0.0,0,fail,policy,fail,1,TLS 1.3,0,0,0,0,0,0.0081362046465202,valid,0.3569997465832681,0.6329333099850103,0,1,0
2005,D2006,0,0.013965613878961,0,8.552808606427629e-08,0,0,0,0.0035686385063186,0,1,0,0,0,0.1954776991302295,1.040043686093482e-09,1,0,1,0,0.2951639679493551,0,1,4,5.862161024515874e-05,"[""""]",0,0,6.0650702584001066e-05,0,0,0.0056523323397116,0,0.0041793536375907,0.0159799182595806,0.0032791970868251,0,0,0,0.5,0,0.2152855503994816,0.4959512,legal_threat,1.0336466011237879e-11,0,0,0,0,0.0,0,pass,fail,none,1,TLS 1.3,3,0,0,0,0,0.5293092158074315,valid,0.8898155652645532,1.2960832257028188e-05,0,1,0
2276,D2277,0,0.0054965850695509,0,0.0001125037123596,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0261286615189994,0,0,0.7580908055928266,0,1.870380273582718e-06,0.1675323577915999,0.0339241253587136,0,0,0,1.0,0,0.0666576120642673,0.5341024,gift_card_request,0.001339913767863,0,0,0,0,1.1,0,fail,temperror,fail,1,TLS 1.2,2,0,0,0,0,2.4586617947093623e-09,self signed,0.1863602399962923,0.6231436703653447,0,1,0
2401,D2402,0,1.6671129013556694e-05,0,0.0037374122139356,1,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0202356110408914,0,0,4.266764066294539e-05,0,0.0073213675968364,0.0002891280329427,1.3353554001983164e-08,0,0,0,0.5,0,0.5286811667141353,0.0409557,sensitive_data_request,0.273857234091848,0,0,0,0,0.0,0,pass,fail,none,1,TLS 1.2,0,0,0,0,0,0.0078770906057456,valid,0.0012983750251907,0.3439494521178848,0,1,0
2962,D2963,0,0.0002052082354029,0,0.0007220323364244,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0015770718003998,0,0,2.8223271291916888e-06,0,0.0643405462315554,0.4130725904861149,7.1269288944124386e-12,0,0,0,1.0,0,8.641509776604922e-05,0.2712284,none,3.1278047237325284e-07,0,0,0,0,0.0,0,pass,pass,pass,1,TLS 1.2,1,0,0,0,0,3.0936653325554234e-08,valid,6.332627898054644e-13,1.8947091080102573e-05,0,1,3
2988,D2989,0,0.0002471734474781,0,0.0025041245669369,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.526631484081605,0,0,0.0487817238037838,0,0.0664901267678581,3.381170817135151e-06,0.0049171864681633,0,0,0,0.0,0,1.7262856520483532e-06,0.4553591,bank_detail_update,0.0777905576387468,0,0,0,0,0.0,0,fail,policy,pass,1,TLS 1.1,0,0,0,0,0,0.2961186016330072,valid,0.009628135396879,1.064114720142802e-05,0,1,4
3112,D3113,0,0.1189677488825032,0,0.0028376598052819,0,0,0,0.1001057443740025,0,0,0,0,0,0.4782606090164373,0.1844078321859631,0,0,0,0,0.80644714066201,0,0,4,8.426824274726567e-101,"[""""]",0,0,4.364503478823238e-06,0,0,0.001044919399942,0,0.0390122162426345,1.6849085913525123e-06,0.0197159207061529,0,0,0,1.0,0,0.0003245738898417,0.863402,none,2.875720122451879e-13,0,0,0,0,0.0,0,pass,policy,pass,1,TLS 1.3,0,0,0,0,0,0.3752548346949035,valid,0.0056406678478212,0.4072377269909343,0,1,0
3436,D3437,0,1.4622585718097757e-06,0,1.7705875967878014e-16,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,3.1934457811377006e-06,0,0,0.0003663091804169,0,0.4663321025550172,5.842785415024177e-06,0.0937282954067883,0,0,0,1.0,0,0.9626456862976862,0.9413994,none,0.0578294218291276,0,0,0,0,0.0,0,fail,fail,temperror,1,TLS 1.2,1,0,0,0,0,0.0237818116241124,valid,0.007233042095098,4.0029866986751024e-14,0,0,0
3456,D3457,0,8.764642256097973e-06,0,1.0646337575953694e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,6.986680039664668e-05,0,0,0.0016727251730358,0,0.9309890356832592,0.013058102258863,0.003858963107831,0,0,0,0.0,0,0.0005603898411393,0.4744899,meeting_request,0.0368522820454415,0,0,0,0,0.0,0,fail,pass,pass,1,TLS 1.3,4,0,0,0,0,0.0001677185828193,expired,0.0265857492165883,0.0112744369481433,0,1,0
3763,D3764,0,6.128671151810997e-05,0,1.1543897396778466e-06,0,0,0,0.7379558619542439,0,0,0,0,0,0.7365272668450036,3.6649016341109694e-06,0,0,0,0,0.385774830791611,0,0,4,3.677672316456447e-46,"[""""]",0,0,3.892899646616361e-07,0,0,1.292993717503455e-07,0,0.1818916096524937,0.5014633418844213,0.1960732670880009,0,0,0,1.0,0,0.0001023173156465,0.4710126,wire_transfer,0.0173786750444325,0,0,0,0,0.0,0,fail,policy,temperror,1,SSL,0,0,0,0,0,0.7299315510645494,valid,4.315702781922444e-23,2.371773829930472e-06,0,1,0
3786,D3787,0,0.0001283707088384,0,0.0310468589769382,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.7488596271121729,0,0,0.0002963887601741,0,1.404846861223353e-05,5.580078458908255e-10,0.0055781078517837,0,0,0,1.0,0,0.065400468302199,0.7422229,invoice_verification,9.75969764401933e-05,0,0,0,0,0.0,0,pass,neutral,pass,1,TLS 1.3,2,0,0,0,0,0.8185631436956131,expired,0.0175692198665802,0.1702127670308421,0,1,0
4464,D4465,0,0.0361722761326267,0,0.1469225870768883,0,0,0,0.0020342443889979,0,0,0,0,0,0.0103029856033576,0.9275662576775452,0,0,0,0,0.6426610925790963,0,0,5,2.805849684108876e-37,"[""""]",0,1,0.39432031166593,0,0,1.9855459399643188e-10,0,0.0001599360483248,4.188859475787367e-06,0.6295576297445069,0,0,0,0.5,0,0.0073115741995426,0.3628377,meeting_request,0.3581259781145084,0,0,0,0,0.0,0,pass,fail,pass,0,TLS 1.2,0,0,0,0,0,0.0515829920438677,valid,0.5773750552849267,0.0021736436741982,0,1,0
4837,D4838,0,0.0005593749345372,0,0.0029538130600717,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0041117054641293,0,0,0.1141939206966759,0,0.1382751645382262,0.0118853974053425,0.0006046461161862,0,0,0,1.0,0,0.0102197576891347,0.6304889,bank_detail_update,8.965036636303061e-11,0,0,0,0,0.0,0,fail,pass,fail,1,TLS 1.2,0,0,0,0,0,0.1956772019492892,expired,0.0849955942075973,0.0005439557646198,0,1,0
4945,D4946,0,0.1126421063319342,0,0.1967137654170264,0,0,0,0.5199333163287306,0,0,0,0,0,0.0197648641972068,9.068736764891304e-08,0,0,0,0,0.7609782449110477,0,0,7,2.978119928156792e-18,"[""""]",0,0,0.7103741193703785,0,0,3.674989943681271e-08,0,0.0420002810919684,0.2419234259583253,0.144976861448915,0,0,0,0.0,0,0.0007857265248453,0.1911865,legal_threat,0.7587017046563841,0,0,0,0,0.0,0,pass,none,temperror,1,TLS 1.2,1,0,0,0,0,0.0008769416120374,valid,8.11430805267599e-08,0.1360769844500408,0,1,0
5201,D5202,0,0.0005561332893762,0,0.7945239320511314,0,0,0,0.1838227854281091,0,0,0,0,0,0.0036784188319075,0.0005447386905383,0,0,0,0,0.0527733700254405,0,1,6,6.288902598678296e-50,"[""""]",0,1,8.798290691093899e-08,0,0,3.139061829752991e-06,0,0.0091386361680452,0.6780096916525921,0.2890472110369473,0,0,0,0.0,0,0.1554016035450681,0.0377456,none,0.0240130891068296,0,0,0,0,0.0,0,fail,pass,none,1,TLS 1.0,4,0,0,0,0,3.216992759084613e-18,valid,0.0020566004490658,2.423814143282357e-07,0,1,0
5323,D5324,0,0.0069609642948132,0,0.0322644649916533,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,5.479614038770805e-07,0,0,0.0064315235954235,0,0.1078273391731338,0.0618562383979141,0.000439031788935,0,0,0,1.0,0,6.220166677706962e-10,0.2963334,none,8.20274243845678e-10,0,0,0,0,1.0,0,pass,none,fail,1,TLS 1.2,1,1,0,0,0,9.049338765475357e-08,self signed,0.1193374882004151,4.812431409289929e-05,0,1,0
5599,D5600,0,0.0030860741513318,1,3.0147708751158616e-14,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.3848927671775529,0,0,0.0016591588640422,0,8.438177834888687e-08,1.388439263729216e-07,0.578265966450925,0,0,0,1.0,0,0.0002558714480479,0.2762678,none,0.0045633351195294,0,0,0,0,0.0,1,pass,fail,none,1,TLS 1.2,0,0,0,0,0,0.1010293771711607,expired,0.2268208290673899,1.4840624903615096e-06,0,1,0
5977,D5978,0,0.0002466932984877,0,7.115807374507049e-08,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0041736536228749,0,0,0.0072510630010972,0,0.0151251183581221,9.460955800318776e-13,0.0120688280534065,0,0,1,0.5,0,0.0004705695825152,0.438474,invoice_verification,0.0118093655202547,0,0,0,0,0.0,0,pass,policy,pass,1,TLS 1.3,1,0,0,0,0,0.2559534611372706,valid,0.0123324636762046,0.2296938198750192,0,1,0
